artist_id,artist_name,artist_popularity,followers,genre
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,86,3718443,['classic oklahoma country']
70kkdajctXSbqSMJbQO424,Kacey Musgraves,78,1389215,"['classic texas country', 'contemporary country', 'country dawn']"
4qU7IJSReZnsLy5907Mtau,Richy Mitch & The Coal Miners,71,153885,['modern folk rock']
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,87,43067523,"['dance pop', 'pop', 'uk pop']"
4q3ewBCX7sLwd24euuV69X,Bad Bunny,93,80338621,"['reggaeton', 'trap latino', 'urbano latino']"
2LRoIwlKmHjgvigdNGBHNo,Feid,90,10769948,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,87,43067523,"['dance pop', 'pop', 'uk pop']"
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,69,274548,['jersey club']
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,82089381,"['canadian contemporary r&b', 'canadian pop', 'pop']"
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,79,9793736,"['electro', 'filter house', 'rock']"
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,82,7923278,['pop']
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,75,3774287,['chill pop']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,95767859,['pop']
22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,2246273,['singer-songwriter pop']
790FomKkXshlbRYZFtlgla,KAROL G,88,45526786,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,89,12990378,"['corridos tumbados', 'sad sierreno']"
